Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 53.07      0.70     0.70    49604     0.00     0.00  Vector::dot(Vector&) const
 43.97      1.28     0.58 47897053     0.00     0.00  Vector::operator[](unsigned int)
  1.52      1.30     0.02                             Vector::operator[](unsigned int) const
  0.76      1.31     0.01    95067     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.76      1.32     0.01        1     0.01     0.01  Dataset::write(double*&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
  0.00      1.32     0.00  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00      1.32     0.00  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.00      1.32     0.00  1047552     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00      1.32     0.00   523776     0.00     0.00  std::setprecision(int)
  0.00      1.32     0.00    45903     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.00      1.32     0.00    45403     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      1.32     0.00     2048     0.00     0.00  Vector::Vector(unsigned int)
  0.00      1.32     0.00     2048     0.00     0.00  Vector::~Vector()
  0.00      1.32     0.00     2048     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00      1.32     0.00     1026     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.32     0.00     1024     0.00     0.00  Vector::get_data()
  0.00      1.32     0.00     1024     0.00     0.00  Vector::magnitude()
  0.00      1.32     0.00     1024     0.00     0.00  Vector::Vector(Vector const&)
  0.00      1.32     0.00     1024     0.00     0.00  Vector::operator/(double)
  0.00      1.32     0.00     1024     0.00     0.00  Vector::operator-(double)
  0.00      1.32     0.00     1024     0.00     0.00  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00      1.32     0.00     1024     0.00     0.00  Vector::mean() const
  0.00      1.32     0.00     1024     0.00     0.00  void std::allocator_traits<std::allocator<Vector> >::construct<Vector, Vector const&>(std::allocator<Vector>&, Vector*, Vector const&)
  0.00      1.32     0.00     1024     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      1.32     0.00     1024     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream&)
  0.00      1.32     0.00     1024     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&)
  0.00      1.32     0.00     1024     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00      1.32     0.00     1024     0.00     0.00  std::istream* std::__addressof<std::istream>(std::istream&)
  0.00      1.32     0.00     1024     0.00     0.00  std::iterator_traits<std::istream_iterator<double, char, std::char_traits<char>, long> >::iterator_category std::__iterator_category<std::istream_iterator<double, char, std::char_traits<char>, long> >(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      1.32     0.00     1024     0.00     0.00  double* std::copy_n<std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*)
  0.00      1.32     0.00     1024     0.00     0.00  void std::_Destroy<Vector>(Vector*)
