Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 46.40     11.76    11.76  4717055     0.00     0.00  Vector::Vector(Vector const&)
 16.70     15.99     4.23 3754426368     0.00     0.00  Vector::operator[](unsigned int)
 13.19     19.33     3.34  1571328     0.00     0.00  Vector::dot(Vector) const
 12.04     22.39     3.05  1047552     0.00     0.00  Vector::mean() const
  4.94     23.64     1.25  1047552     0.00     0.00  Vector::operator/(double)
  3.67     24.57     0.93  1047552     0.00     0.00  Vector::operator-(double)
  2.69     25.25     0.68                             Vector::operator[](unsigned int) const
  0.12     25.28     0.03  4718079     0.00     0.00  Vector::~Vector()
  0.12     25.31     0.03  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.04     25.32     0.01  1047552     0.00     0.00  Vector::magnitude() const
  0.04     25.33     0.01   523776     0.00     0.00  Analysis::pearson(Vector, Vector)
  0.04     25.34     0.01   523776     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.04     25.35     0.01        1     0.01     0.01  Dataset::write(std::vector<double, std::allocator<double> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.02     25.35     0.01  1047552     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.02     25.36     0.01   523776     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00     25.36     0.00  4718079     0.00     0.00  Vector::Vector(unsigned int)
  0.00     25.36     0.00  1048576     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00     25.36     0.00  1047572     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00     25.36     0.00  1047552     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00     25.36     0.00   526847     0.00     0.00  operator new(unsigned long, void*)
  0.00     25.36     0.00   525868     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::size() const
  0.00     25.36     0.00   523858     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     25.36     0.00   523776     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00     25.36     0.00   523776     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
