Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 37.53      0.06     0.06     8858     0.01     0.01  Vector::dot(Vector&) const
 37.53      0.12     0.06  4111990     0.00     0.00  Vector::operator[](unsigned int)
 12.51      0.14     0.02   262144     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  6.25      0.15     0.01      512     0.02     0.02  Vector::Vector(Vector const&)
  6.25      0.16     0.01      512     0.02     0.02  Vector::mean() const
  0.00      0.16     0.00   262144     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00      0.16     0.00   261632     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00      0.16     0.00   130816     0.00     0.00  std::setprecision(int)
  0.00      0.16     0.00    17695     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00      0.16     0.00     7825     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.00      0.16     0.00     7352     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      0.16     0.00     1024     0.00     0.00  Vector::Vector(unsigned int)
  0.00      0.16     0.00     1024     0.00     0.00  Vector::~Vector()
  0.00      0.16     0.00     1024     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00      0.16     0.00      515     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.16     0.00      512     0.00     0.00  Vector::get_data()
  0.00      0.16     0.00      512     0.00     0.01  Vector::magnitude()
  0.00      0.16     0.00      512     0.00     0.00  Vector::operator/(double)
  0.00      0.16     0.00      512     0.00     0.00  Vector::operator-(double)
  0.00      0.16     0.00      512     0.00     0.02  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00      0.16     0.00      512     0.00     0.02  void std::allocator_traits<std::allocator<Vector> >::construct<Vector, Vector const&>(std::allocator<Vector>&, Vector*, Vector const&)
  0.00      0.16     0.00      512     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      0.16     0.00      512     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::istream_iterator(std::istream&)
  0.00      0.16     0.00      512     0.00     0.02  std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&)
  0.00      0.16     0.00      512     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00      0.16     0.00      512     0.00     0.00  std::istream* std::__addressof<std::istream>(std::istream&)
  0.00      0.16     0.00      512     0.00     0.00  std::iterator_traits<std::istream_iterator<double, char, std::char_traits<char>, long> >::iterator_category std::__iterator_category<std::istream_iterator<double, char, std::char_traits<char>, long> >(std::istream_iterator<double, char, std::char_traits<char>, long> const&)
  0.00      0.16     0.00      512     0.00     0.04  double* std::copy_n<std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*>(std::istream_iterator<double, char, std::char_traits<char>, long>, int, double*)
  0.00      0.16     0.00      512     0.00     0.00  void std::_Destroy<Vector>(Vector*)
