Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00 200933376     0.00     0.00  Vector::operator[](unsigned int)
  0.00      0.00     0.00  1179391     0.00     0.00  Vector::Vector(unsigned int)
  0.00      0.00     0.00  1179391     0.00     0.00  Vector::~Vector()
  0.00      0.00     0.00  1178879     0.00     0.00  Vector::Vector(Vector const&)
  0.00      0.00     0.00   392448     0.00     0.00  Vector::dot(Vector) const
  0.00      0.00     0.00   262144     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator*() const
  0.00      0.00     0.00   262144     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::_M_read()
  0.00      0.00     0.00   261650     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.00     0.00   261632     0.00     0.00  Vector::operator/(double)
  0.00      0.00     0.00   261632     0.00     0.00  Vector::operator-(double)
  0.00      0.00     0.00   261632     0.00     0.00  Vector::mean() const
  0.00      0.00     0.00   261632     0.00     0.00  Vector::magnitude() const
  0.00      0.00     0.00   261632     0.00     0.00  std::istream_iterator<double, char, std::char_traits<char>, long>::operator++()
  0.00      0.00     0.00   261632     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long)
  0.00      0.00     0.00   132351     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00   131880     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::size() const
  0.00      0.00     0.00   130890     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.00     0.00   130816     0.00     0.00  Analysis::pearson(Vector, Vector)
  0.00      0.00     0.00   130816     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      0.00     0.00   130816     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      0.00     0.00   130816     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      0.00     0.00   130816     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.00     0.00   130816     0.00     0.00  std::setprecision(int)
  0.00      0.00     0.00   130816     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      0.00     0.00   130816     0.00     0.00  double const& std::min<double>(double const&, double const&)
  0.00      0.00     0.00     2558     0.00     0.00  Vector* std::__addressof<Vector>(Vector&)
  0.00      0.00     0.00     2057     0.00     0.00  Vector const& std::forward<Vector const&>(std::remove_reference<Vector const&>::type&)
  0.00      0.00     0.00     1535     0.00     0.00  void std::_Destroy<Vector>(Vector*)
